timestamp,bot_on,player
52041,1.0,5
52042,1.0,5
52043,1.0,5
52044,1.0,5
52045,1.0,5
52046,1.0,5
52047,1.0,5
52048,1.0,5
52049,1.0,5
52050,1.0,5
52051,1.0,5
52052,1.0,5
52053,1.0,5
52054,1.0,5
52055,1.0,5
52056,1.0,5
52057,1.0,5
52058,1.0,5
52059,1.0,5
52060,1.0,5
52061,1.0,5
52062,1.0,5
52063,1.0,5
52064,1.0,5
52065,1.0,5
52066,1.0,5
52067,1.0,5
52068,1.0,5
52069,1.0,5
52070,1.0,5
52071,1.0,5
52072,1.0,5
52073,1.0,5
52074,1.0,5
52075,1.0,5
52076,1.0,5
52077,1.0,5
52078,1.0,5
52079,1.0,5
52080,1.0,5
52081,1.0,5
52082,1.0,5
52083,1.0,5
52084,1.0,5
52085,1.0,5
52086,1.0,5
52087,1.0,5
52088,1.0,5
52089,1.0,5
52090,1.0,5
52091,1.0,5
52092,1.0,5
52093,1.0,5
52094,1.0,5
52095,1.0,5
52096,1.0,5
52097,1.0,5
52098,1.0,5
52099,1.0,5
52100,1.0,5
52101,1.0,5
52102,1.0,5
52103,1.0,5
52104,1.0,5
52105,1.0,5
52106,1.0,5
52107,1.0,5
52108,1.0,5
52109,1.0,5
52110,1.0,5
52111,1.0,5
52112,1.0,5
52113,1.0,5
52114,1.0,5
52115,1.0,5
52116,1.0,5
52117,1.0,5
52118,1.0,5
52119,1.0,5
52120,1.0,5
52121,1.0,5
52122,1.0,5
52123,1.0,5
52124,1.0,5
52125,1.0,5
52126,1.0,5
52127,1.0,5
52128,1.0,5
52129,1.0,5
52130,1.0,5
52131,1.0,5
52132,1.0,5
52133,1.0,5
52134,1.0,5
52135,1.0,5
52136,1.0,5
52137,1.0,5
52138,1.0,5
52139,1.0,5
52140,1.0,5
52141,1.0,5
52142,1.0,5
52143,1.0,5
52144,1.0,5
52145,1.0,5
52146,1.0,5
52147,1.0,5
52148,1.0,5
52149,1.0,5
52150,1.0,5
52151,1.0,5
52152,1.0,5
52153,1.0,5
52154,1.0,5
52155,1.0,5
52156,1.0,5
52157,1.0,5
52158,1.0,5
52159,1.0,5
52160,1.0,5
52161,1.0,5
52162,1.0,5
52163,1.0,5
52164,1.0,5
52165,1.0,5
52166,1.0,5
52167,1.0,5
52168,1.0,5
52169,1.0,5
52170,1.0,5
52171,1.0,5
52172,1.0,5
52173,1.0,5
52174,1.0,5
52175,1.0,5
52176,1.0,5
52177,1.0,5
52178,1.0,5
52179,1.0,5
52180,1.0,5
52181,1.0,5
52182,1.0,5
52183,1.0,5
